VFID	VF category	multi_cat	vf_category0	vf_category1	vf_category2	vf_category3	vf_category0_subcat0	vf_category0_subcat1	vf_category0_subcat2	vf_category0_subcat3	vf_category0_subcat4	vf_category1_subcat0	vf_category1_subcat1	vf_category1_subcat2	vf_category1_subcat3	vf_category2_subcat0	vf_category2_subcat1	vf_category2_subcat2	vf_category3_subcat0	vf_category3_subcat1
VF0001	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT; alpha-Hemolysin family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT; alpha-Hemolysin family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Beta-PFT	 alpha-Hemolysin family									
VF0002	Exotoxin; Membrane-acting toxin; Phospholipase	false	Exotoxin; Membrane-acting toxin; Phospholipase				Exotoxin	 Membrane-acting toxin	 Phospholipase											
VF0003	Immune modulation; Antiphagocytosis	false	Immune modulation; Antiphagocytosis				Immune modulation	 Antiphagocytosis												
VF0004	Adherence; Non-fimbrial adhesin; Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)	false	Adherence; Non-fimbrial adhesin; Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)				Adherence	 Non-fimbrial adhesin	 Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)											
VF0005	Adherence; Non-fimbrial adhesin; Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)	false	Adherence; Non-fimbrial adhesin; Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)				Adherence	 Non-fimbrial adhesin	 Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)											
VF0006	Exoenzyme; Protease	false	Exoenzyme; Protease				Exoenzyme	 Protease												
VF0007	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Alpha-PFT										
VF0008	Adherence; Non-fimbrial adhesin; Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)	false	Adherence; Non-fimbrial adhesin; Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)				Adherence	 Non-fimbrial adhesin	 Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)											
VF0009	Exoenzyme; Protease	false	Exoenzyme; Protease				Exoenzyme	 Protease												
VF0010	Adherence; Non-fimbrial adhesin; Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)	false	Adherence; Non-fimbrial adhesin; Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)				Adherence	 Non-fimbrial adhesin	 Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)											
VF0011	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Beta-PFT										
VF0012	Exoenzyme; Lipase	false	Exoenzyme; Lipase				Exoenzyme	 Lipase												
VF0013	Exoenzyme; Hyaluronidase	false	Exoenzyme; Hyaluronidase				Exoenzyme	 Hyaluronidase												
VF0014	Biofilm; Biofilm formation	false	Biofilm; Biofilm formation				Biofilm	 Biofilm formation												
VF0015	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram+ heme acquisition system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram+ heme acquisition system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Heme uptake system	 Gram+ heme acquisition system									
VF0016	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0017	Exotoxin; Membrane-acting toxin; Superantigen	false	Exotoxin; Membrane-acting toxin; Superantigen				Exotoxin	 Membrane-acting toxin	 Superantigen											
VF0018	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Beta-PFT										
VF0019	Adherence; Non-fimbrial adhesin; Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)	false	Adherence; Non-fimbrial adhesin; Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)				Adherence	 Non-fimbrial adhesin	 Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)											
VF0020	Exotoxin; Membrane-acting toxin; Superantigen	false	Exotoxin; Membrane-acting toxin; Superantigen				Exotoxin	 Membrane-acting toxin	 Superantigen											
VF0021	Exoenzyme; Kinase	false	Exoenzyme; Kinase				Exoenzyme	 Kinase												
VF0022	Exotoxin; Membrane-acting toxin; Superantigen	false	Exotoxin; Membrane-acting toxin; Superantigen				Exotoxin	 Membrane-acting toxin	 Superantigen											
VF0023	Exoenzyme; Protease	false	Exoenzyme; Protease				Exoenzyme	 Protease												
VF0024	Exoenzyme; Protease	false	Exoenzyme; Protease				Exoenzyme	 Protease												
VF0025	Adherence; Non-fimbrial adhesin; Autotransporter adhesin	false	Adherence; Non-fimbrial adhesin; Autotransporter adhesin				Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin											
VF0026	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT)	false	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT)				Exotoxin	 Intracellularly active toxin	 ADP-ribosyltransferase (ADPRT)											
VF0027	Adherence; Non-fimbrial adhesin; Autotransporter adhesin	false	Adherence; Non-fimbrial adhesin; Autotransporter adhesin				Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin											
VF0028	Exotoxin; Intracellularly active toxin; Adenylate cyclase	false	Exotoxin; Intracellularly active toxin; Adenylate cyclase				Exotoxin	 Intracellularly active toxin	 Adenylate cyclase											
VF0029	Exotoxin; Intracellularly active toxin; Deamidase	false	Exotoxin; Intracellularly active toxin; Deamidase				Exotoxin	 Intracellularly active toxin	 Deamidase											
VF0031	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0032	Adherence; Non-fimbrial adhesin; Autotransporter adhesin	false	Adherence; Non-fimbrial adhesin; Autotransporter adhesin				Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin											
VF0033	Immune modulation; Inflammatory signaling pathway	false	Immune modulation; Inflammatory signaling pathway				Immune modulation	 Inflammatory signaling pathway												
VF0034	Immune modulation; Complement evasion/Serum resistance	false	Immune modulation; Complement evasion/Serum resistance				Immune modulation	 Complement evasion/Serum resistance												
VF0035	Effector delivery system; Type III secretion system (T3SS); T3SS components	false	Effector delivery system; Type III secretion system (T3SS); T3SS components				Effector delivery system	 Type III secretion system (T3SS)	 T3SS components											
VF0036	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0037	Adherence; Non-fimbrial adhesin; Autotransporter adhesin	false	Adherence; Non-fimbrial adhesin; Autotransporter adhesin				Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin											
VF0038	Adherence; Non-fimbrial adhesin; Autotransporter adhesin	false	Adherence; Non-fimbrial adhesin; Autotransporter adhesin				Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin											
VF0039	Adherence; Non-fimbrial adhesin; Autotransporter adhesin	false	Adherence; Non-fimbrial adhesin; Autotransporter adhesin				Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin											
VF0040	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0041	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0042	Immune modulation	false	Immune modulation				Immune modulation													
VF0043	Immune modulation; Antiphagocytosis	false	Immune modulation; Antiphagocytosis				Immune modulation	 Antiphagocytosis												
VF0044	Immune modulation; Inflammatory signaling pathway	false	Immune modulation; Inflammatory signaling pathway				Immune modulation	 Inflammatory signaling pathway												
VF0045	Exoenzyme; Protease	false	Exoenzyme; Protease				Exoenzyme	 Protease												
VF0046	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Transferrin/Lactoferrin binding	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Transferrin/Lactoferrin binding				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Transferrin/Lactoferrin binding										
VF0047	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Transferrin/Lactoferrin binding	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Transferrin/Lactoferrin binding				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Transferrin/Lactoferrin binding										
VF0048	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- non-hemophore-dependent	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- non-hemophore-dependent				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Heme uptake system	 Gram- non-hemophore-dependent									
VF0049	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- non-hemophore-dependent	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- non-hemophore-dependent				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Heme uptake system	 Gram- non-hemophore-dependent									
