VFID	query	vf_category
VF0470	VFG037170(gb|WP_001081754)	Exotoxin
VF0470	VFG037177(gb|WP_000632986)	Exotoxin
VF0470	VFG037172(gb|WP_001081748)	Exotoxin
VF0470	VFG037173(gb|WP_000633004)	Exotoxin
VF0470	VFG037176(gb|WP_001081735)	Exotoxin
VF0470	VFG037178(gb|YP_001083140)	Exotoxin
VF0470	VFG037179(gb|YP_001085084)	Exotoxin
VF0470	VFG037182(gb|WP_001081755)	Exotoxin
VF0470	VFG037184(gb|WP_001081758)	Exotoxin
VF0470	VFG037185(gb|WP_020753227)	Exotoxin
VF0470	VFG037186(gb|WP_001081765)	Exotoxin
VF0470	VFG037188(gb|WP_001081762)	Exotoxin
VF0470	VFG037189(gb|WP_000632992)	Exotoxin
VF0470	VFG037194(gb|WP_001081740)	Exotoxin
VF0470	VFG037195(gb|WP_000633005)	Exotoxin
VF0470	VFG037196(gb|YP_005796961)	Exotoxin
VF0470	VFG037198(gb|WP_001081736)	Exotoxin
VF0469	VFG037203(gb|WP_000079188)	Exotoxin
VF0469	VFG037201(gb|WP_000079186)	Exotoxin
VF0469	VFG037204(gb|YP_001085994)	Exotoxin
VF0469	VFG037209(gb|WP_000079185)	Exotoxin
VF0469	VFG037212(gb|WP_000079187)	Exotoxin
VF0467	VFG037218(gb|WP_000983821)	Nutritional/Metabolic factor
VF0467	VFG037216(gb|WP_000983826)	Nutritional/Metabolic factor
VF0467	VFG037219(gb|YP_001085393)	Nutritional/Metabolic factor
VF0467	VFG037222(gb|WP_000983827)	Nutritional/Metabolic factor
VF0467	VFG037224(gb|WP_000983828)	Nutritional/Metabolic factor
VF0467	VFG037232(gb|WP_001093095)	Nutritional/Metabolic factor
VF0467	VFG037230(gb|WP_001093105)	Nutritional/Metabolic factor
VF0467	VFG037233(gb|YP_001085394)	Nutritional/Metabolic factor
VF0467	VFG037236(gb|WP_001093099)	Nutritional/Metabolic factor
VF0467	VFG037238(gb|WP_001093106)	Nutritional/Metabolic factor
VF0467	VFG037243(gb|WP_001032913)	Nutritional/Metabolic factor
VF0467	VFG037244(gb|WP_001032905)	Nutritional/Metabolic factor
VF0467	VFG037246(gb|WP_001032906)	Nutritional/Metabolic factor
VF0467	VFG037247(gb|YP_001085395)	Nutritional/Metabolic factor
VF0467	VFG037250(gb|WP_020753355)	Nutritional/Metabolic factor
VF0467	VFG037252(gb|WP_001032911)	Nutritional/Metabolic factor
VF0467	VFG037255(gb|YP_005799703)	Nutritional/Metabolic factor
VF0467	VFG037260(gb|WP_001095752)	Nutritional/Metabolic factor
VF0467	VFG037258(gb|WP_001090101)	Nutritional/Metabolic factor
VF0467	VFG037261(gb|YP_001085396)	Nutritional/Metabolic factor
VF0467	VFG037264(gb|WP_020753356)	Nutritional/Metabolic factor
VF0467	VFG037266(gb|WP_001090102)	Nutritional/Metabolic factor
VF0467	VFG037272(gb|WP_001281555)	Nutritional/Metabolic factor
VF0467	VFG037273(gb|WP_001281554)	Nutritional/Metabolic factor
VF0467	VFG037274(gb|WP_001281538)	Nutritional/Metabolic factor
VF0467	VFG037275(gb|YP_001085399)	Nutritional/Metabolic factor
VF0467	VFG037277(gb|WP_031967279)	Nutritional/Metabolic factor
VF0467	VFG037278(gb|WP_139161447)	Nutritional/Metabolic factor
VF0467	VFG037280(gb|WP_001281545)	Nutritional/Metabolic factor
VF0467	VFG037288(gb|WP_000603876)	Nutritional/Metabolic factor
VF0467	VFG037286(gb|WP_000603880)	Nutritional/Metabolic factor
VF0467	VFG037289(gb|YP_001085400)	Nutritional/Metabolic factor
VF0467	VFG037292(gb|WP_000603878)	Nutritional/Metabolic factor
VF0467	VFG037294(gb|WP_000603864)	Nutritional/Metabolic factor
VF0467	VFG037302(gb|WP_001018264)	Nutritional/Metabolic factor
VF0467	VFG037300(gb|WP_001018265)	Nutritional/Metabolic factor
VF0467	VFG037303(gb|YP_001085401)	Nutritional/Metabolic factor
VF0467	VFG037306(gb|WP_001018266)	Nutritional/Metabolic factor
VF0467	VFG037308(gb|WP_001018257)	Nutritional/Metabolic factor
VF0467	VFG037313(gb|WP_000744364)	Nutritional/Metabolic factor
VF0467	VFG037314(gb|WP_000744369)	Nutritional/Metabolic factor
VF0467	VFG037315(gb|WP_000744371)	Nutritional/Metabolic factor
VF0467	VFG037316(gb|WP_000744381)	Nutritional/Metabolic factor
VF0467	VFG037317(gb|YP_001085402)	Nutritional/Metabolic factor
VF0467	VFG037320(gb|WP_020753358)	Nutritional/Metabolic factor
VF0467	VFG037322(gb|WP_000744367)	Nutritional/Metabolic factor
VF0467	VFG037330(gb|WP_001177743)	Nutritional/Metabolic factor
VF0467	VFG037328(gb|WP_001177728)	Nutritional/Metabolic factor
VF0467	VFG037329(gb|WP_001177727)	Nutritional/Metabolic factor
VF0467	VFG037331(gb|YP_001085404)	Nutritional/Metabolic factor
VF0467	VFG037333(gb|WP_138140467)	Nutritional/Metabolic factor
VF0467	VFG037334(gb|WP_086225834)	Nutritional/Metabolic factor
VF0467	VFG037336(gb|WP_001177738)	Nutritional/Metabolic factor
VF0467	VFG037339(gb|YP_005799710)	Nutritional/Metabolic factor
VF0467	VFG037344(gb|WP_000717759)	Nutritional/Metabolic factor
VF0467	VFG037342(gb|WP_000717756)	Nutritional/Metabolic factor
VF0467	VFG037345(gb|YP_001085405)	Nutritional/Metabolic factor
VF0467	VFG037348(gb|WP_000717757)	Nutritional/Metabolic factor
VF0467	VFG037350(gb|WP_000717753)	Nutritional/Metabolic factor
VF0467	VFG037355(gb|WP_001073031)	Nutritional/Metabolic factor
VF0467	VFG037356(gb|WP_001016286)	Nutritional/Metabolic factor
VF0467	VFG037357(gb|WP_001016285)	Nutritional/Metabolic factor
VF0467	VFG037358(gb|WP_001073030)	Nutritional/Metabolic factor
VF0467	VFG037359(gb|YP_001085406)	Nutritional/Metabolic factor
VF0467	VFG037362(gb|WP_020753359)	Nutritional/Metabolic factor
VF0467	VFG037364(gb|WP_043961076)	Nutritional/Metabolic factor
VF0467	VFG037372(gb|WP_001104139)	Nutritional/Metabolic factor
VF0467	VFG037370(gb|WP_001104131)	Nutritional/Metabolic factor
VF0467	VFG037373(gb|YP_001085407)	Nutritional/Metabolic factor
VF0467	VFG037376(gb|WP_001104132)	Nutritional/Metabolic factor
VF0467	VFG037386(gb|WP_000582115)	Nutritional/Metabolic factor
VF0467	VFG037384(gb|WP_000582117)	Nutritional/Metabolic factor
VF0467	VFG037387(gb|YP_001085408)	Nutritional/Metabolic factor
VF0467	VFG037390(gb|WP_000582116)	Nutritional/Metabolic factor
VF0467	VFG037392(gb|WP_000582124)	Nutritional/Metabolic factor
VF0467	VFG037395(gb|YP_005799714)	Nutritional/Metabolic factor
VF0467	VFG037400(gb|WP_001223274)	Nutritional/Metabolic factor
VF0467	VFG037398(gb|WP_001223285)	Nutritional/Metabolic factor
VF0467	VFG037401(gb|YP_001085409)	Nutritional/Metabolic factor
VF0467	VFG037404(gb|WP_001223271)	Nutritional/Metabolic factor
VF0467	VFG037406(gb|WP_001223281)	Nutritional/Metabolic factor
VF0467	VFG037411(gb|WP_001210787)	Nutritional/Metabolic factor
VF0467	VFG037412(gb|WP_001210792)	Nutritional/Metabolic factor
VF0467	VFG037414(gb|WP_012391956)	Nutritional/Metabolic factor
VF0467	VFG037415(gb|YP_001085410)	Nutritional/Metabolic factor
VF0467	VFG037417(gb|WP_085916975)	Nutritional/Metabolic factor
VF0467	VFG037418(gb|WP_020753360)	Nutritional/Metabolic factor
VF0467	VFG037428(gb|WP_000939834)	Nutritional/Metabolic factor
VF0467	VFG037426(gb|WP_085920665)	Nutritional/Metabolic factor
VF0467	VFG037429(gb|YP_001085411)	Nutritional/Metabolic factor
VF0467	VFG037432(gb|WP_139161446)	Nutritional/Metabolic factor
VF0467	VFG037434(gb|WP_000939848)	Nutritional/Metabolic factor
